Annual_Avg_Rad,January_Avg_Rad,February_Avg_Rad,March_Avg_Rad,April_Avg_Rad,May_Avg_Rad,June_Avg_Rad,July_Avg_Rad,August_Avg_Rad,September_Avg_Rad,October_Avg_Rad,November_Avg_Rad,December_Avg_Rad,State FIPS,Consumption_com,Consumption_ind,Consumption_res,Consumption_tot,Net_Generation_com,Net_Generation_ind,Net_Generation_res,Net_Generation_tot,Residential_Price,Commercial_Price,Industial_Price,Transportation_Price,Total_Price
0.0016206,0.0014125499999999998,0.0015731499999999997,0.0017410499999999998,0.0018468999999999998,0.00182135,0.0017556499999999999,0.0016497999999999999,0.0016789999999999997,0.0015256999999999998,0.0015914,0.0015402999999999999,0.00129575,1,14078.26656,293.29722,26983.34424,125824.50738,5.0,0.0,2.0,39.0,119900.0,111099.99999999999,60400.0,0.0,95600.0
0.00279225,0.00238345,0.0024309,0.0028324,0.00309155,0.0033799,0.0035551,0.002774,0.0025841999999999996,0.0028324,0.0027666999999999995,0.0025696,0.0022849,4,1335088.94544,461356.52706,3549776.25366,15478467.488279998,493.0,170.0,964.0,5369.0,121500.00000000001,104100.0,60700.00000000001,99300.0,103300.0
0.0016315499999999998,0.0012775,0.0013578000000000002,0.0015220499999999998,0.0017885000000000002,0.0016863,0.00191625,0.0020220999999999998,0.0020367,0.0017556499999999999,0.0015914,0.00134685,0.0012665500000000002,5,8212.32216,0.0,29623.01922,108813.26861999999,3.0,0.0,4.0,33.0,99200.0,82300.00000000001,60800.0,104000.00000000001,81300.00000000001
0.0024272499999999997,0.0015840999999999997,0.0016717,0.00223015,0.0024674,0.0029090499999999994,0.0032630999999999997,0.0032594499999999997,0.0030952,0.0028543,0.0023615499999999996,0.00183595,0.00155125,6,4941178.265339999,3757723.9826399996,19069012.055519998,78339980.75921999,1825.0,1388.0,5147.0,27037.0,173900.0,150700.0,119200.0,98000.0,152300.00000000003
0.00228125,0.0017301,0.0018031,0.0021279499999999995,0.0023652,0.0026060999999999996,0.00299665,0.0027959,0.0024893000000000003,0.0025622999999999996,0.0022739500000000003,0.0019527499999999996,0.0016643999999999997,8,567236.82348,6159.24162,799528.2217199999,2786910.18444,209.0,2.0,265.0,999.0,120700.0,96000.0,73500.0,98000.0,98300.0
0.0013942999999999998,0.00115705,0.00136875,0.0015256999999999998,0.00155855,0.0015329999999999999,0.00152935,0.0016680500000000001,0.0015840999999999997,0.00152935,0.001241,0.0009928,0.0010585,9,351370.06956,42821.39412,743508.4526999999,1203985.0880999998,130.0,16.0,174.0,344.0,200100.00000000003,157500.0,128100.00000000001,108400.0,172400.0
0.00150745,0.00125195,0.00147825,0.0016352,0.0016352,0.00166075,0.00168995,0.0017337499999999998,0.0016352,0.00150015,0.0014417499999999999,0.0012373500000000001,0.00120815,10,68631.54948,9972.10548,118785.37409999999,332012.45304,25.0,4.0,40.0,119.0,134200.0,100700.00000000001,81099.99999999999,0.0,110900.0
0.00152935,0.0013286,0.0016023499999999998,0.0016717,0.0016424999999999999,0.0016497999999999999,0.00168995,0.00168265,0.00160965,0.00152935,0.00146,0.001241,0.00125925,11,41354.908019999995,0.0,45167.77188,86522.67989999999,15.0,0.0,16.0,32.0,122900.0,117200.00000000001,88000.00000000001,95300.0,117300.0
0.0017593,0.0017629499999999999,0.0018614999999999997,0.0020220999999999998,0.00215715,0.0020513000000000003,0.00166075,0.00160965,0.0015914,0.00147095,0.0016571,0.00171915,0.0015476,12,234637.77599999998,15544.752659999998,8007307.40322,8854936.36902,87.0,6.0,116.0,429.0,109800.00000000001,89000.00000000001,76900.00000000001,83200.00000000001,99100.00000000001
0.0016717,0.00152935,0.00168995,0.0018140499999999998,0.0019308499999999998,0.0019418,0.0017702499999999997,0.0016935999999999997,0.0016279,0.0015184,0.00158045,0.0015695,0.0013942999999999998,13,83003.11326,416188.75518,129050.77679999999,3005709.9105599998,31.0,154.0,13.0,1076.0,115000.0,98100.0,58400.0,50800.00000000001,95900.0
0.0018286499999999998,0.0017593,0.0017009,0.0016169499999999998,0.00167535,0.0018395999999999998,0.00196005,0.0020220999999999998,0.0020732,0.0020002,0.0018140499999999998,0.0017410499999999998,0.00171185,15,755826.93594,5572.64718,1862730.64422,2864047.3532999996,279.0,2.0,479.0,848.0,274700.0,246400.0,206900.00000000003,0.0,238700.00000000003
0.001971,0.0008979,0.0012117999999999999,0.0015914,0.002044,0.0024016999999999997,0.00274115,0.0032412,0.00292365,0.00253675,0.0019198999999999998,0.00118625,0.0009125,16,8505.61938,586.59444,24343.66926,114092.61858,3.0,0.0,7.0,40.0,99499.99999999999,77600.0,65500.0,0.0,80800.0
